sentence,relation,entities,sentence_no_tags
"An expensive uniform and a strict ballot rendered it somewhat too exclusive in its character, but in the end it answered its purpose by becoming practically a <e1>muster</e1> of the National <e2>leaders</e2> of the present and the future.",13,"['muster', 'leaders']","An expensive uniform and a strict ballot rendered it somewhat too exclusive in its character, but in the end it answered its purpose by becoming practically a muster of the National leaders of the present and the future."
The <e1>train ride</e1> from <e2>station</e2> to station is approximate 30 minutes.,18,"['train ride', 'station']",The train ride from station to station is approximate 30 minutes.
The archaeological site yields <e1>relics</e1> from long-forgotten <e2>culture</e2>.,8,"['relics', 'culture']",The archaeological site yields relics from long-forgotten culture.
A <e1>maze</e1> of interlocking <e2>jurisdictions</e2> and levels of government confronts average citizens in trying to solve even the simplest of problems.,18,"['maze', 'jurisdictions']",A maze of interlocking jurisdictions and levels of government confronts average citizens in trying to solve even the simplest of problems.
"Water <e1>damage</e1> from roof leaks, plumbing leaks or flooding lead to the <e2>growth</e2> of molds.",0,"['damage', 'growth']","Water damage from roof leaks, plumbing leaks or flooding lead to the growth of molds."
"Warm weather is here, and with it comes the <e1>scourge</e1> of <e2>mosquitoes</e2>.",18,"['scourge', 'mosquitoes']","Warm weather is here, and with it comes the scourge of mosquitoes."
"The <e1>formation</e1> of struvite <e2>stones</e2> is associated with the presence of urea-splitting bacteria, most commonly Proteus mirabilis (but also Klebsiella, Serratia, Providencia species).",18,"['formation', 'stones']","The formation of struvite stones is associated with the presence of urea-splitting bacteria, most commonly Proteus mirabilis (but also Klebsiella, Serratia, Providencia species)."
"Our army was successfully engaged during the day with strong rearguards of all arms on the Petit Morin River, thereby materially assisting the progress of the French armies on our right and left, against whom the <e1>enemy</e1> was making his greatest <e2>efforts</e2>.",18,"['enemy', 'efforts']","Our army was successfully engaged during the day with strong rearguards of all arms on the Petit Morin River, thereby materially assisting the progress of the French armies on our right and left, against whom the enemy was making his greatest efforts."
"So when William did cross the Boyne on July 1st 1690, he had an army consisting of the <e1>riffraff</e1> of Europe's <e2>mercenaries</e2>.",13,"['riffraff', 'mercenaries']","So when William did cross the Boyne on July 1st 1690, he had an army consisting of the riffraff of Europe's mercenaries."
The overall <e1>geometry</e1> of the heart was extracted from the intensity <e2>data</e2>.,8,"['geometry', 'data']",The overall geometry of the heart was extracted from the intensity data.
The <e1>discomfort</e1> from the <e2>injury</e2> was now precluding him from his occupation which involved prolonged procedures in the standing position.,1,"['discomfort', 'injury']",The discomfort from the injury was now precluding him from his occupation which involved prolonged procedures in the standing position.
"Flames of purple, pink, yellow and blue dance in the air as a <e1>coven</e1> of <e2>sorcerers</e2> call forth energies from within the Empyrean.",13,"['coven', 'sorcerers']","Flames of purple, pink, yellow and blue dance in the air as a coven of sorcerers call forth energies from within the Empyrean."
"Out of the early morning haze, a <e1>convoy</e1> of articulated <e2>lorries</e2> pulls into the Gashouder square.",13,"['convoy', 'lorries']","Out of the early morning haze, a convoy of articulated lorries pulls into the Gashouder square."
This book has transported <e1>readers</e1> into <e2>ancient times</e2>.,6,"['readers', 'ancient times']",This book has transported readers into ancient times.
"We always try to maintain the best <e1>environment</e1> for <e2>programmers</e2>, starting with good salary and conducive working environment.",18,"['environment', 'programmers']","We always try to maintain the best environment for programmers, starting with good salary and conducive working environment."
"Indeed, a green or black basalt heart <e1>scarab</e1> was found put inside the <e2>body</e2> in its place.",4,"['scarab', 'body']","Indeed, a green or black basalt heart scarab was found put inside the body in its place."
The first <e1>motorcycle</e1> was manufactured in a small wood <e2>building</e2> with only one room.,8,"['motorcycle', 'building']",The first motorcycle was manufactured in a small wood building with only one room.
"The <e1>water</e1> pushed to the coast resulted in <e2>tides</e2> as much as three feet above normal, with waves of 5-10 feet atop these tides.",0,"['water', 'tides']","The water pushed to the coast resulted in tides as much as three feet above normal, with waves of 5-10 feet atop these tides."
The <e1>chapters</e1> in this book investigate <e2>issues</e2> and communities.,14,"['chapters', 'issues']",The chapters in this book investigate issues and communities.
He rescheduled the birthday <e1>party</e1> to the <e2>next day</e2>.,6,"['party', 'next day']",He rescheduled the birthday party to the next day.
The <e1>bacterial aerosol</e1> was generated from an up-draft <e2>nebulizer</e2>.,17,"['bacterial aerosol', 'nebulizer']",The bacterial aerosol was generated from an up-draft nebulizer.
"<e1>People</e1> have travelled into <e2>space</e2>, but not the deep ocean.",6,"['People', 'space']","People have travelled into space, but not the deep ocean."
"For those of you who are unsure what Afrikaans is, it is a language which originated from the Dutch which were the first settlers in South Africa and the unique <e1>language</e1> was evolved from other <e2>settlers</e2> from Malaya, Indonesia, Madagascar and West Africa.",8,"['language', 'settlers']","For those of you who are unsure what Afrikaans is, it is a language which originated from the Dutch which were the first settlers in South Africa and the unique language was evolved from other settlers from Malaya, Indonesia, Madagascar and West Africa."
"<e1>Beaver</e1> <e2>dams</e2> are created as a protection against predators, such as coyotes, wolves and bears, and to provide easy access to food during winter.",17,"['Beaver', 'dams']","Beaver dams are created as a protection against predators, such as coyotes, wolves and bears, and to provide easy access to food during winter."
"So, the theme of the <e1>play</e1> has to do with <e2>religion</e2>.",14,"['play', 'religion']","So, the theme of the play has to do with religion."
There has been intense <e1>debate</e1> over the circles' <e2>origins</e2>.,14,"['debate', 'origins']",There has been intense debate over the circles' origins.
I have recently developed creases in my <e1>ear</e1> <e2>lobes</e2>.,3,"['ear', 'lobes']",I have recently developed creases in my ear lobes.
"Manufacturing extra neutral <e1>alcohol</e1> which is the basic ingredient used for making <e2>liquor</e2>, the commodity was largely used by companies making Indian Made Foreign Liquor (IMFL).",9,"['alcohol', 'liquor']","Manufacturing extra neutral alcohol which is the basic ingredient used for making liquor, the commodity was largely used by companies making Indian Made Foreign Liquor (IMFL)."
Initially the <e1>user</e1> calibrates the microscope with a fluorescence lifetime <e2>standard</e2> positioned at the sample plane.,11,"['user', 'standard']",Initially the user calibrates the microscope with a fluorescence lifetime standard positioned at the sample plane.
The <e1>province</e1> comprises the southeastern <e2>part</e2> of Panay Island with island-province of Guimaras just across its coast.,3,"['province', 'part']",The province comprises the southeastern part of Panay Island with island-province of Guimaras just across its coast.
"The <e1>charge</e1> is the source of an electric <e2>field</e2>, which carries energy-the electrostatic self-energy.",0,"['charge', 'field']","The charge is the source of an electric field, which carries energy-the electrostatic self-energy."
The <e1>tardiness</e1> however has been caused by the <e2>arrival</e2> of my old man; who in true Bloodworth fashion has had me walking everywhere.,1,"['tardiness', 'arrival']",The tardiness however has been caused by the arrival of my old man; who in true Bloodworth fashion has had me walking everywhere.
The <e1>key</e1> was in a <e2>chest</e2>.,4,"['key', 'chest']",The key was in a chest.
The <e1>residue</e1> was distilled from an Arbuzov <e2>flask</e2>.,8,"['residue', 'flask']",The residue was distilled from an Arbuzov flask.
"As the Gondorians moved forward the evil force started to withdraw, unleashing a <e1>rain</e1> of deadly <e2>arrows</e2> into the heavily armoured Gondorians.",13,"['rain', 'arrows']","As the Gondorians moved forward the evil force started to withdraw, unleashing a rain of deadly arrows into the heavily armoured Gondorians."
